observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence,previous_api_snapshot_timestamp,observation_interval_hours,previous_lat,previous_lon,position_changed
zone_australia_gladstone_hay_point_20260828T042118Z.json_100,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:57:06+00:00,24.2,9633159,636025609,MAIZURU KICHIJO,7,True,-23.85197,151.31129,0.0,261.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,100,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.85197,151.31129,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_35,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:07:55+00:00,68.33333333333333,963917700,503004550,BRUCE,0,False,-23.76932,151.18899,1.7,102.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,35,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_36,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:07:55+00:00,73.38333333333334,963917700,503004550,BRUCE,0,False,-23.76932,151.18899,1.7,102.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,36,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.76932,151.18899,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_9,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 02:58:07+00:00,78.13333333333334,9640645,538013005,V GAS OHIO,8,False,-23.77802,151.19546,0.0,132.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,9,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_9,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 02:58:07+00:00,83.18333333333334,9640645,538013005,V GAS OHIO,8,False,-23.77802,151.19546,0.0,132.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,9,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.77802,151.19546,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_12,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 02:55:01+00:00,81.23333333333333,9650767,352035000,RAGA,7,True,-23.81918,151.48063,0.2,81.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,12,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_13,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 02:55:01+00:00,86.28333333333333,9650767,352035000,RAGA,7,True,-23.81918,151.48063,0.2,81.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,13,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.81918,151.48063,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_30,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:06:25+00:00,69.83333333333333,9689897,565285000,STRATEGIC HARMONY,7,True,-23.85092,151.47758,0.0,86.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,30,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_31,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:06:25+00:00,74.88333333333334,9689897,565285000,STRATEGIC HARMONY,7,True,-23.85092,151.47758,0.0,86.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,31,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.85092,151.47758,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_44,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:05:41+00:00,70.56666666666666,9693472,503020180,SL CURTIS ISLAND,3,False,-23.82482,151.24429,0.0,259.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,44,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_45,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:05:41+00:00,75.61666666666666,9693472,503020180,SL CURTIS ISLAND,3,False,-23.82482,151.24429,0.0,259.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,45,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.82482,151.24429,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_42,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:06:09+00:00,70.1,9693484,503022140,SL QUOIN ISLAND,3,False,-23.7796,151.19765,0.0,311.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,42,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_43,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:06:09+00:00,75.15,9693484,503022140,SL QUOIN ISLAND,3,False,-23.7796,151.19765,0.0,311.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,43,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.7796,151.19765,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_10,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:02:47+00:00,73.46666666666667,9694945,269084000,BREGAGLIA,7,True,-23.83375,151.47999,0.0,73.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,10,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_11,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:02:47+00:00,78.51666666666667,9694945,269084000,BREGAGLIA,7,True,-23.83375,151.47999,0.0,73.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,11,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.83375,151.47999,False
