imo,vessel_name,route_id,origin,destination,scenario,freight_rate_usd_per_mt,cargo_quantity_mt,live_scenario_revenue_usd,live_bunker_price_usd_per_mt,bunker_market_reference,bunker_updated_at,live_bunker_cost_usd,live_total_voyage_cost_usd,live_scenario_profit_usd,profitable,loss_making,live_cost_joined,scenario_code,candidate_key
9290971,ORIENTAL ENTERPRISE,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",bull,27.88284793979492,73625.0,2052874.679567401,770.5,Singapore,2026-08-28T16:11:32.820Z,492949.3909363023,773860.8203646226,1279013.8592027784,True,False,True,2,9290971_R15_bull
9290971,ORIENTAL ENTERPRISE,17,"Queensland, Australia","Haldia, India",base,20.3,73625.0,1494587.5,770.5,Singapore,2026-08-28T16:11:32.820Z,426050.4295950374,672231.7038818835,822355.7961181165,True,False,True,1,9290971_R17_base
9290971,ORIENTAL ENTERPRISE,17,"Queensland, Australia","Haldia, India",bear,15.59034774134463,73625.0,1147839.3524564984,770.5,Singapore,2026-08-28T16:11:32.820Z,426050.4295950374,672231.7038818835,475607.6485746149,True,False,True,0,9290971_R17_bear
9290971,ORIENTAL ENTERPRISE,17,"Queensland, Australia","Haldia, India",bull,29.026759650145475,73625.0,2137095.1792419604,770.5,Singapore,2026-08-28T16:11:32.820Z,426050.4295950374,672231.7038818835,1464863.4753600769,True,False,True,2,9290971_R17_bull
9290971,ORIENTAL ENTERPRISE,18,"Richards Bay, South Africa","Haldia, India",base,12.8,73625.0,942400.0,770.5,Singapore,2026-08-28T16:11:32.820Z,426370.9579510534,672718.6324227229,269681.3675772771,True,False,True,1,9290971_R18_base
9290971,ORIENTAL ENTERPRISE,18,"Richards Bay, South Africa","Haldia, India",bear,9.83036704872962,73625.0,723760.7739627183,770.5,Singapore,2026-08-28T16:11:32.820Z,426370.9579510534,672718.6324227229,51042.14153999544,True,False,True,0,9290971_R18_bear
9290971,ORIENTAL ENTERPRISE,18,"Richards Bay, South Africa","Haldia, India",bull,18.302587365608968,73625.0,1347527.9947929604,770.5,Singapore,2026-08-28T16:11:32.820Z,426370.9579510534,672718.6324227229,674809.3623702375,True,False,True,2,9290971_R18_bull
9290971,ORIENTAL ENTERPRISE,2,"Hay Point, Australia","Paradip, India",base,13.8,73625.0,1016025.0,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,323474.0254702837,True,False,True,1,9290971_R2_base
9290971,ORIENTAL ENTERPRISE,2,"Hay Point, Australia","Paradip, India",bear,10.59836447441162,73625.0,780304.5844285554,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,87753.60989883915,True,False,True,0,9290971_R2_bear
9290971,ORIENTAL ENTERPRISE,2,"Hay Point, Australia","Paradip, India",bull,19.73247700354717,73625.0,1452803.6193861605,770.5,Singapore,2026-08-28T16:11:32.820Z,439425.9084794074,692550.9745297163,760252.6448564442,True,False,True,2,9290971_R2_bull
9290971,ORIENTAL ENTERPRISE,20,East Coast Australia,East Coast India,base,19.55,166250.0,3250187.5,770.5,Singapore,2026-08-28T16:11:32.820Z,473999.9702870119,745073.9327981147,2505113.5672018854,True,False,True,1,9290971_R20_base
