report_date,target_5tc,status,evidence,source,has_5tc,has_capesize,has_bci,has_ultramax,has_supramax,semantic_category
2022-05-23,37538.0,GOOD_EXPLICIT,"The Capesize 5TC rose +$4,805 over the week to close at $37,538.",https://www.drycargomag.com/dry-bulk-week-20-2022,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2022-10-17,17965.0,GOOD_EXPLICIT,"The Capesize 5TC lowered 1909 over the week to settle at $17,965.",https://www.drycargomag.com/flat-week-for-dry-bulk-shipping,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2023-02-27,5271.0,GOOD_EXPLICIT,"Last Friday the 5TC was at $2,246 and as we close the week it stands at $5,271.",https://www.drycargomag.com/dry-bulk-shipping-report-0823,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT
2023-03-13,14466.0,GOOD_EXPLICIT,"Subsequently, the time charter average for the 5TC rose over $4,000 compared with last Friday and finished proceedings at $14,466.",https://www.drycargomag.com/dry-bulk-shipping-report-1023,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT
2023-04-03,13806.0,GOOD_EXPLICIT,"Dry Bulk Shipping Report About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Shipping Report 03 April 2023 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The first quarter of 2023 ended with a decline of $95 on the Capesize time charter average (5TC), pricing at $13,806 on the last day in March.",https://www.drycargomag.com/dry-bulk-shipping-report-1323,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2023-04-17,15344.0,GOOD_EXPLICIT,"All in all, a mixed bag with the 5TC’s starting the week after the Easter weekend at $15,849 and ending the week at $15,344.",https://www.drycargomag.com/dry-bulk-shipping-report-1523,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT
2023-10-09,27455.0,GOOD_EXPLICIT,"By the end of the week, the Pacific market rebounded, remaining robust and supported, while the Atlantic market, particularly in the North Atlantic, saw significantly firmer fixtures, concluding the week on an optimistic note, as illustrated by the BCI 5TC index, which rose this week by $5,801 to reach $27,455 as the week draws to a close.",https://www.drycargomag.com/dry-bulk-shipping-report-4023,True,False,True,False,False,A_CLEAR_CAPESIZE_5TC
2024-01-15,18015.0,GOOD_EXPLICIT,"The BCI 5TC commenced the week at $29,851 but experienced notable losses, concluding the week at $18,015 by Friday's close.",https://www.drycargomag.com/shipping-market-remains-subdued,True,False,True,False,False,A_CLEAR_CAPESIZE_5TC
2024-10-14,23509.0,GOOD_EXPLICIT,"The BCI 5TC fell every day besides Friday, which closed at $23,509, a significant drop from Monday’s $26,213.",https://www.drycargomag.com/soft-week-for-dry-bulk-sector-market,True,False,True,False,False,A_CLEAR_CAPESIZE_5TC
2025-03-17,23697.0,GOOD_EXPLICIT,"The BCI 5TC experienced a steady rise throughout the week, before a slight correction saw it close at $23,697, up from $20,544 at the week's start.",https://www.drycargomag.com/a-positive-week-for-the-dry-bulk-sector,True,False,True,False,False,A_CLEAR_CAPESIZE_5TC
2025-06-23,23879.0,GOOD_EXPLICIT,"Overall, the week marked a reversal of recent gains, with the BCI 5TC shedding over $7,000 to settle at $23,879 by Friday.",https://www.drycargomag.com/a-subdued-week-for-dry-bulk-shipping-market,True,False,True,False,False,A_CLEAR_CAPESIZE_5TC
