report_date,original_value,strict_5tc,status,pattern,source_sentence,source
2021-08-02,3244.0,35713.0,ACCEPT,explicit_to_close_settle_finish,"Dry Bulk: Week 30 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 30 02 August 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market strengthened this week as Pacific routes were affected by weather incidents pushing the 5TC up $3,244 week on week to settle at $35,713.",https://www.drycargomag.com/dry-bulk-week-30-2021
2021-08-09,36150.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-31-2021
2021-08-16,4766.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-32-2021
2021-08-31,6162.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-34-2021
2021-09-06,4452.0,46647.0,ACCEPT,explicit_to_close_settle_finish,"Dry Bulk: Week 35 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 35 06 September 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market crested over the past week as the 5TC retracted $4452 since last Friday to close out at $46,647.",https://www.drycargomag.com/dry-bulk-week-35-2021
2021-09-27,53240.0,61309.0,ACCEPT,"\bclosed?\b.{0,60}?(?:at|on)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","The Capesize 5TC opened the week at $53,240 and never looked like taking a backward step as it closed out the week a staggering $8,069 up settling Friday at $61,309.",https://www.drycargomag.com/dry-bulk-week-38-2021
2021-10-11,86953.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-40-2021
2021-11-01,15398.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-43-2021
2021-11-08,8866.0,27199.0,ACCEPT,explicit_to_close_settle_finish,"Dry Bulk: Week 44 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 44 08 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market has endured another difficult period of sliding rates as the 5TC sustained losses week-on-week of -8866 to close out at $27,199.",https://www.drycargomag.com/dry-bulk-week-44-2021
2021-11-22,2905.0,29938.0,ACCEPT,explicit_to_close_settle_finish,"Dry Bulk: Week 46 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 46 22 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market closed out a generally underwhelming week with positive sentiment and an uptick in the final days with the 5TC lifting +2905 to settle at $29,938.",https://www.drycargomag.com/dry-bulk-week-46-2021
