imo,vessel_name,route_id,origin,destination,feasible_departure_dates,first_feasible_departure,last_feasible_departure,reposition_distance_nm,reposition_hours,estimated_total_voyage_days
9603398,CAPE RAINBOW,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2531.434413516499,210.95286779304158,16.245075379249574
9603398,CAPE RAINBOW,4,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,195.34384717121796,16.27865393093483,19.10663217622482
9603398,CAPE RAINBOW,5,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,195.34384717121796,16.27865393093483,19.010422170859073
9603398,CAPE RAINBOW,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",1,2026-09-07,2026-09-07,2468.1351628028706,205.67793023357254,10.362157106268844
9603398,CAPE RAINBOW,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2531.434413516499,210.95286779304158,11.557633553074217
9603398,CAPE RAINBOW,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",1,2026-09-07,2026-09-07,2468.1351628028706,205.67793023357254,13.955617670560153
9607136,RTM DHAMBUL,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2334.5159877902047,194.54299898251705,10.95508327835536
9607136,RTM DHAMBUL,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2435.694691007629,202.97455758396907,15.631610646559757
9607136,RTM DHAMBUL,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2532.0629760730803,211.00524800609003,11.557633553074217
9607136,RTM DHAMBUL,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2532.0629760730803,211.00524800609003,16.245075379249574
9607136,RTM DHAMBUL,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2532.0629760730803,211.00524800609003,11.557633553074217
9633159,MAIZURU KICHIJO,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",9,2026-08-30,2026-09-07,190.5774952489136,15.881457937409467,19.10663217622482
9633159,MAIZURU KICHIJO,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2325.019658092106,193.75163817434216,10.95508327835536
9633159,MAIZURU KICHIJO,11,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,190.5774952489136,15.881457937409467,19.10663217622482
9633159,MAIZURU KICHIJO,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2426.14520309632,202.17876692469335,15.631610646559757
9633159,MAIZURU KICHIJO,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2522.851324280763,210.23761035673024,11.557633553074217
9633159,MAIZURU KICHIJO,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,385.25546981798425,32.10462248483202,18.43177285723718
9633159,MAIZURU KICHIJO,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,190.5774952489136,15.881457937409467,19.010422170859073
9633159,MAIZURU KICHIJO,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,236.09858639410797,19.674882199508996,20.506163542591903
9633159,MAIZURU KICHIJO,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2325.019658092106,193.75163817434216,10.95508327835536
9633159,MAIZURU KICHIJO,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2325.019658092106,193.75163817434216,15.642525104530714
9633159,MAIZURU KICHIJO,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2522.851324280763,210.23761035673024,16.245075379249574
9633159,MAIZURU KICHIJO,4,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,190.5774952489136,15.881457937409467,19.10663217622482
9633159,MAIZURU KICHIJO,5,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,190.5774952489136,15.881457937409467,19.010422170859073
9633159,MAIZURU KICHIJO,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2,2026-09-06,2026-09-07,2458.5605377519737,204.88004481266447,10.362157106268844
9633159,MAIZURU KICHIJO,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2522.851324280763,210.23761035673024,11.557633553074217
9633159,MAIZURU KICHIJO,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",2,2026-09-06,2026-09-07,2458.5605377519737,204.88004481266447,13.955617670560153
9650767,RAGA,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",9,2026-08-30,2026-09-07,194.77350123426478,16.231125102855398,19.10663217622482
9650767,RAGA,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2332.274295981072,194.356191331756,10.95508327835536
9650767,RAGA,11,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,194.77350123426478,16.231125102855398,19.10663217622482
9650767,RAGA,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2433.4511173843466,202.78759311536223,15.631610646559757
9650767,RAGA,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2529.8335957542654,210.81946631285544,11.557633553074217
9650767,RAGA,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,393.83368329854756,32.8194736082123,18.43177285723718
9650767,RAGA,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,194.77350123426478,16.231125102855398,19.010422170859073
9650767,RAGA,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,234.49915835644106,19.541596529703423,20.506163542591903
9650767,RAGA,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2332.274295981072,194.356191331756,10.95508327835536
9650767,RAGA,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2332.274295981072,194.356191331756,15.642525104530714
9650767,RAGA,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2529.8335957542654,210.81946631285544,16.245075379249574
9650767,RAGA,4,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,194.77350123426478,16.231125102855398,19.10663217622482
9650767,RAGA,5,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,194.77350123426478,16.231125102855398,19.010422170859073
9650767,RAGA,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2,2026-09-06,2026-09-07,2466.2261871466976,205.51884892889146,10.362157106268844
9650767,RAGA,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2529.8335957542654,210.81946631285544,11.557633553074217
9650767,RAGA,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",2,2026-09-06,2026-09-07,2466.2261871466976,205.51884892889146,13.955617670560153
