route_id,origin,destination,vessel_class,cargo_type,scenario,alternative_value_usd,sail_value_usd,kill_penalty_threshold_usd,threshold_interpretation,threshold_status
10,Indonesia,"Paradip, India",Supramax,thermal coal,bull,1000000.0,1273509.3172024349,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,bear,0.0,954157.239086767,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,bear,250000.0,954157.239086767,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,bear,500000.0,954157.239086767,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,bear,1000000.0,954157.239086767,45842.76091323304,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,base,0.0,1406082.8111868748,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,base,250000.0,1406082.8111868748,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,base,500000.0,1406082.8111868748,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,base,1000000.0,1406082.8111868748,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,bull,0.0,2243479.2113614646,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,bull,250000.0,2243479.2113614646,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,bull,500000.0,2243479.2113614646,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,bull,1000000.0,2243479.2113614646,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,bear,0.0,614404.5413054023,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,bear,250000.0,614404.5413054023,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,bear,500000.0,614404.5413054023,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
